ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,fiftytwo_week_high,fiftytwo_week_low,sma_21,sma_50,sma_200,rsi,atr,atr%,up_3_days,down_3_days,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time
VZ,44.38,0.02,0.01,9.17,2024-11-27,45.21,36.99,41.84,42.89,41.24,67.9,0.73,1.64,1,0,44.38,2024-11-27,43.98,2024-11-25,0.91,44.38,2024-11-27,40.4,2024-11-12,7.3,45.21,2024-10-01,37.9,2024-01-11,14.15,62.5,1999-10-04,7.32,1983-12-27,461.97
WAB,200.04,-0.83,-1.67,0.6,2024-11-27,201.71,115.2,196.23,189.71,164.81,62.7,3.31,1.65,0,0,201.71,2024-11-26,199.28,2024-11-25,0.38,201.71,2024-11-26,186.84,2024-11-01,7.06,201.71,2024-11-26,123.99,2024-01-04,58.9,201.71,2024-11-26,4.16,2000-10-18,2567.2
WAT,386.57,-0.41,-1.58,0.91,2024-11-27,388.15,279.74,371.85,357.28,333.1,61.66,11.7,3.03,0,0,388.15,2024-11-26,378.16,2024-11-25,2.22,388.15,2024-11-26,344.71,2024-11-19,-0.17,388.15,2024-11-26,282.7,2024-07-01,17.63,424.7,2021-09-08,3.44,1995-11-29,10123.34
WBA,9.06,3.78,0.33,13.63,2024-11-27,26.65,8.24,8.97,9.13,13.86,50.99,0.42,4.66,0,0,9.06,2024-11-25,8.73,2024-11-26,0.0,9.62,2024-11-05,8.24,2024-11-20,-4.23,26.65,2024-01-02,8.24,2024-11-20,-66.0,96.68,2015-08-05,0.21,1980-03-18,4235.26
WBD,10.38,2.67,0.27,25.32,2024-11-27,12.49,6.71,9.28,8.45,8.17,68.67,0.42,4.04,0,0,10.4,2024-11-25,10.11,2024-11-26,-0.19,10.4,2024-11-25,8.17,2024-11-04,26.12,11.66,2024-01-02,6.71,2024-08-12,-10.98,77.27,2021-03-19,5.25,2008-10-24,32.77
WDAY,253.4,-6.21,-16.79,13.84,2024-11-27,307.21,207.08,257.51,248.62,247.58,47.14,8.41,3.32,0,0,270.19,2024-11-26,253.4,2024-11-27,-5.34,276.51,2024-11-13,239.12,2024-11-01,5.97,307.21,2024-02-26,207.08,2024-06-13,-5.55,307.21,2024-02-26,46.99,2012-11-12,420.44
WDC,71.5,-2.08,-1.52,5.54,2024-11-27,80.24,46.77,66.68,66.87,67.95,61.36,2.35,3.28,0,0,73.02,2024-11-26,69.43,2024-11-25,2.98,73.02,2024-11-26,62.73,2024-11-13,8.53,80.24,2024-07-10,49.43,2024-01-09,40.58,114.28,2014-12-22,0.69,1978-12-18,6255.56
WEC,101.82,0.27,0.27,1.31,2024-11-27,101.82,76.46,98.06,97.05,86.76,67.02,1.46,1.43,1,0,101.82,2024-11-27,101.35,2024-11-25,0.46,101.82,2024-11-27,94.91,2024-11-04,6.54,101.82,2024-11-27,76.46,2024-02-13,17.96,108.28,2022-05-24,2.19,1980-12-08,4510.72
WELL,139.3,0.24,0.34,3.35,2024-11-27,139.3,86.51,136.49,131.69,110.39,61.76,2.42,1.74,0,0,139.3,2024-11-27,135.75,2024-11-25,2.62,139.3,2024-11-27,133.27,2024-11-01,4.52,139.3,2024-11-27,86.51,2024-01-31,54.37,139.3,2024-11-27,6.17,1980-04-08,2043.08
WFC,77.21,-0.18,-0.14,16.76,2024-11-27,77.35,43.78,71.6,64.65,59.27,77.88,1.68,2.17,0,0,77.35,2024-11-26,76.9,2024-11-25,0.4,77.35,2024-11-26,63.7,2024-11-04,19.37,77.35,2024-11-26,46.44,2024-01-18,56.52,77.35,2024-11-26,0.49,1974-10-01,8671.79
WM,228.46,0.44,1.01,1.37,2024-11-27,228.46,169.74,220.72,214.21,209.81,68.65,3.42,1.5,1,0,228.46,2024-11-27,225.65,2024-11-25,1.25,228.46,2024-11-27,213.99,2024-11-01,6.76,228.46,2024-11-27,177.77,2024-01-05,27.2,228.46,2024-11-27,1.38,1990-01-30,4839.68
WMB,58.14,-0.39,-0.23,5.55,2024-11-27,59.74,33.05,56.16,52.12,43.55,66.35,1.16,2.0,0,0,58.37,2024-11-26,58.14,2024-11-27,-0.09,59.74,2024-11-21,51.56,2024-11-01,12.76,59.74,2024-11-21,33.05,2024-02-14,63.68,60.86,2015-06-22,0.72,2002-07-25,1602.81
WMT,91.88,0.62,0.57,11.24,2024-11-27,91.88,50.29,85.55,82.8,70.1,77.18,1.55,1.69,0,0,91.88,2024-11-27,89.5,2024-11-25,2.66,91.88,2024-11-27,82.19,2024-11-01,11.79,91.88,2024-11-27,52.24,2024-01-05,73.04,91.88,2024-11-27,0.01,1974-12-10,427567.08
WRB,64.94,0.95,0.61,0.81,2024-11-27,64.94,46.21,60.45,59.12,56.11,73.64,1.11,1.72,1,0,64.94,2024-11-27,63.05,2024-11-25,3.0,64.94,2024-11-27,57.5,2024-11-01,12.94,64.94,2024-11-27,48.0,2024-01-10,35.01,64.94,2024-11-27,0.04,1975-12-18,42094.59
WST,323.32,1.24,3.97,0.39,2024-11-27,413.0,277.16,320.35,308.23,332.02,54.59,10.54,3.26,0,0,323.32,2024-11-27,319.35,2024-11-26,1.1,344.0,2024-11-13,304.1,2024-11-19,2.15,413.0,2024-02-07,277.16,2024-07-25,-7.28,471.34,2021-12-30,0.69,1980-03-27,41284.96
WTW,320.86,1.33,4.21,1.02,2024-11-27,320.86,235.52,311.51,300.01,276.75,70.13,5.41,1.68,1,0,320.86,2024-11-27,314.63,2024-11-25,1.98,320.86,2024-11-27,299.3,2024-11-01,7.2,320.86,2024-11-27,238.87,2024-01-05,33.72,320.86,2024-11-27,42.91,2001-06-14,629.67
WY,32.35,1.38,0.44,2.79,2024-11-27,35.93,27.05,31.34,32.23,31.62,58.16,0.63,1.96,0,0,32.35,2024-11-27,31.91,2024-11-26,0.37,32.35,2024-11-27,30.6,2024-11-21,3.75,35.93,2024-03-27,27.05,2024-07-03,-7.01,86.2,2007-03-06,13.47,2020-03-23,69.52
WYNN,91.67,-0.21,-0.19,1.4,2024-11-27,107.46,73.55,90.67,94.37,91.87,49.39,2.78,3.04,0,0,93.45,2024-11-25,91.67,2024-11-27,-1.9,95.68,2024-11-01,84.3,2024-11-08,-4.19,107.46,2024-04-05,73.55,2024-08-05,-3.1,247.95,2014-03-04,11.09,2002-11-14,604.61
XEL,72.92,1.46,1.05,2.42,2024-11-27,72.92,48.44,68.65,65.89,58.38,80.83,1.13,1.55,1,0,72.92,2024-11-27,71.6,2024-11-25,1.84,72.92,2024-11-27,65.82,2024-11-04,9.34,72.92,2024-11-27,48.44,2024-03-06,14.89,77.41,2022-09-12,3.88,1974-10-02,905.79
XOM,117.66,-0.26,-0.31,10.84,2024-11-27,125.37,96.8,119.52,119.66,115.69,43.07,2.03,1.73,0,1,119.97,2024-11-25,117.66,2024-11-27,-1.93,121.93,2024-11-21,114.95,2024-11-01,2.36,125.37,2024-10-07,96.8,2024-01-18,14.95,125.37,2024-10-07,1.44,1962-05-28,7355.68
XYL,125.61,0.86,1.07,1.23,2024-11-27,145.95,103.5,123.89,129.73,132.39,48.58,2.68,2.13,0,0,128.94,2024-11-25,124.54,2024-11-26,-2.58,128.94,2024-11-25,119.46,2024-11-01,5.15,145.95,2024-05-21,109.69,2024-01-17,10.5,145.95,2024-05-21,23.0,2011-11-25,417.98
YUM,139.33,0.5,0.7,1.61,2024-11-27,143.19,124.27,134.92,134.8,135.5,63.21,2.4,1.72,1,0,139.33,2024-11-27,137.05,2024-11-25,1.66,139.33,2024-11-27,132.14,2024-11-19,5.28,143.19,2024-04-29,125.95,2024-07-24,7.98,143.19,2024-04-29,4.27,2000-07-28,2561.74
ZBH,112.02,1.25,1.38,1.25,2024-11-27,132.61,101.77,109.74,107.06,114.16,59.34,2.13,1.9,0,0,112.02,2024-11-27,110.64,2024-11-26,0.96,113.02,2024-11-18,107.27,2024-11-01,4.43,132.61,2024-03-27,101.77,2024-10-08,-7.72,173.41,2021-04-29,24.29,2001-09-19,287.7
ZBRA,405.75,0.82,3.3,0.26,2024-11-27,405.75,233.23,392.11,378.86,327.3,66.75,7.8,1.92,1,0,405.75,2024-11-27,400.94,2024-11-25,1.2,405.75,2024-11-27,377.02,2024-11-04,5.49,405.75,2024-11-27,239.17,2024-01-17,51.41,614.55,2021-12-10,3.28,1991-12-11,9904.79
ZS,204.96,-2.54,-5.34,1.5,2024-11-27,254.93,155.9,199.43,188.79,188.02,57.45,6.4,3.12,0,1,210.42,2024-11-25,204.96,2024-11-27,-2.59,210.96,2024-11-22,182.59,2024-11-01,12.25,254.93,2024-02-09,155.9,2024-09-10,-3.49,368.78,2021-11-19,24.95,2018-05-25,521.09
ZTS,176.74,0.59,1.04,2.31,2024-11-27,200.09,145.54,176.42,184.5,177.99,45.6,3.93,2.22,0,0,178.71,2024-11-25,175.7,2024-11-26,-1.1,181.95,2024-11-01,170.37,2024-11-06,-2.86,199.94,2024-02-28,145.54,2024-04-22,-10.09,247.03,2021-12-29,28.4,2014-04-11,469.95
