ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,level_0,Adj Close,snp500,nasdaq100,dow30,ipo,index,sma_5,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,fiftytwo_week_high,fiftytwo_week_low,sma_10,sma_21,sma_50,sma_200,rsi,atr,atr%,gap,up_3_days,down_3_days
COST,983.25,0.73,7.08,1.68,2026-01-23,250,,True,True,False,False,False,974.03,983.25,2026-01-23,964.26,2026-01-20,1.97,983.25,2026-01-23,854.5,2026-01-02,15.07,983.25,2026-01-23,854.5,2026-01-02,15.07,1072.45,2025-02-13,4.03,1987-12-04,13279.61,1072.45,850.0,958.78,914.33,901.65,949.67,90.88,20.12,2.05,-4.73,False,False
CPRT,41.4,0.32,0.13,7.5,2026-01-23,250,,True,True,False,False,False,41.15,41.4,2026-01-23,40.71,2026-01-20,1.69,41.4,2026-01-23,37.77,2026-01-02,9.61,41.4,2026-01-23,37.77,2026-01-02,9.61,63.84,2025-05-16,0.11,1996-12-10,27075.34,63.84,37.77,40.66,39.75,39.68,47.29,78.23,0.98,2.37,-0.13,False,False
CRWD,452.49,-0.28,-1.28,1.77,2026-01-23,250,,True,True,False,False,False,449.75,453.77,2026-01-22,442.73,2026-01-20,2.2,478.91,2026-01-07,442.73,2026-01-20,-0.24,478.91,2026-01-07,442.73,2026-01-20,-0.24,557.53,2025-11-10,33.01,2020-03-16,680.16,557.53,308.86,457.01,463.75,490.55,468.65,49.39,15.76,3.48,0.92,False,False
CSCO,74.59,0.35,0.26,13.13,2026-01-23,250,,True,True,True,False,False,74.23,74.59,2026-01-23,73.35,2026-01-20,1.69,76.04,2026-01-02,73.35,2026-01-20,-1.91,76.04,2026-01-02,73.35,2026-01-20,-1.91,79.82,2025-12-10,0.05,1990-10-10,149112.09,79.82,52.27,74.42,75.41,76.22,68.07,41.75,1.37,1.84,-0.38,True,False
CSGP,65.6,-1.0,-0.66,4.99,2026-01-23,250,,True,True,False,False,False,65.16,66.26,2026-01-22,63.82,2026-01-20,2.79,67.2,2026-01-06,58.49,2026-01-09,-0.14,67.2,2026-01-06,58.49,2026-01-09,-0.14,99.74,2021-10-26,0.55,1998-09-11,7040.14,96.83,58.49,63.26,64.68,66.13,77.95,49.8,2.99,4.55,-0.54,False,False
CSX,36.64,2.4,0.86,24.04,2026-01-23,250,,True,True,False,False,False,36.14,36.64,2026-01-23,35.51,2026-01-20,3.18,36.64,2026-01-23,35.05,2026-01-07,1.02,36.64,2026-01-23,35.05,2026-01-07,1.02,37.39,2025-12-12,0.12,1982-08-09,29031.87,37.39,26.38,35.92,36.06,35.77,33.51,52.87,0.83,2.27,1.18,False,False
CTAS,192.96,-0.06,-0.11,1.4,2026-01-23,250,,True,True,False,False,False,194.12,195.41,2026-01-21,192.96,2026-01-23,-0.4,195.58,2026-01-15,184.88,2026-01-02,4.37,195.58,2026-01-15,184.88,2026-01-02,4.37,226.65,2025-06-06,0.16,1983-08-19,117111.62,226.65,181.6,193.93,191.26,188.07,204.07,71.47,3.6,1.87,0.0,False,False
CTSH,84.18,-0.51,-0.43,3.78,2026-01-23,250,,True,True,False,False,False,83.95,84.61,2026-01-22,82.21,2026-01-20,2.4,86.7,2026-01-14,81.28,2026-01-02,3.57,86.7,2026-01-14,81.28,2026-01-02,3.57,89.26,2025-02-14,0.17,1998-10-08,45476.89,89.26,65.18,84.62,84.38,80.94,74.91,58.86,2.04,2.42,0.01,False,False
DASH,207.23,-0.2,-0.42,2.3,2026-01-23,250,,True,True,False,False,False,206.47,207.65,2026-01-22,205.67,2026-01-20,0.76,230.52,2026-01-07,205.32,2026-01-16,-5.71,230.52,2026-01-07,205.32,2026-01-16,-5.71,281.74,2025-10-06,43.06,2022-10-14,9.35,281.74,163.16,210.34,219.92,215.86,229.3,35.64,8.32,4.02,-0.84,False,False
DDOG,130.13,-0.85,-1.12,4.07,2026-01-23,250,,True,True,False,False,False,124.17,131.25,2026-01-22,117.0,2026-01-20,11.22,141.45,2026-01-07,117.0,2026-01-20,-2.72,141.45,2026-01-07,117.0,2026-01-20,-2.72,199.72,2025-11-10,28.04,2019-10-22,246.55,199.72,87.0,124.17,130.83,147.22,136.18,46.35,6.08,4.67,-0.75,False,False
